id_kelurahan,nama_kelurahan,latitude,longitude,adm4,adm2,nama_kota
3502012009,Ngilo-Ilo,-7.9989686478,111.3638728524,35.02.01.2009,3502,Kabupaten Ponorogo
3502012010,Duri,-7.9914933487,111.3981542638,35.02.01.2010,3502,Kabupaten Ponorogo
3502012011,Ngloning,-7.9863761295,111.4162147163,35.02.01.2011,3502,Kabupaten Ponorogo
3502012012,Plancungan,-7.9945520977,111.415625464,35.02.01.2012,3502,Kabupaten Ponorogo
3502012013,Jebeng,-7.9985075802,111.4211833825,35.02.01.2013,3502,Kabupaten Ponorogo
3502012014,Galak,-8.003403772,111.4260183493,35.02.01.2014,3502,Kabupaten Ponorogo
3502012015,Truneng,-8.0137870576,111.4312072604,35.02.01.2015,3502,Kabupaten Ponorogo
3502012016,Simo,-7.9966748403,111.4367212413,35.02.01.2016,3502,Kabupaten Ponorogo
3502012017,Crabak,-7.9829632256,111.4401614635,35.02.01.2017,3502,Kabupaten Ponorogo
3502012018,Mojopitu,-7.9704615199,111.4448716659,35.02.01.2018,3502,Kabupaten Ponorogo
3502012019,Gundik,-7.9783595664,111.435216996,35.02.01.2019,3502,Kabupaten Ponorogo
3502012020,Nailan,-7.9807654522,111.4271569131,35.02.01.2020,3502,Kabupaten Ponorogo
3502012021,Gombang,-7.9747425764,111.4214389984,35.02.01.2021,3502,Kabupaten Ponorogo
3502012022,Janti,-7.9775142463,111.4039761023,35.02.01.2022,3502,Kabupaten Ponorogo
3502022001,Wonodadi,-8.158210996,111.4619228221,35.02.02.2001,3502,Kabupaten Ponorogo
3502022002,Sendang,-8.140053531,111.4398415063,35.02.02.2002,3502,Kabupaten Ponorogo
3502022003,Baosan Kidul,-8.1427422261,111.3980032855,35.02.02.2003,3502,Kabupaten Ponorogo
3502022004,Binade,-8.0797911769,111.3629316383,35.02.02.2004,3502,Kabupaten Ponorogo
3502022005,Mrayan,-8.1068437171,111.3794129638,35.02.02.2005,3502,Kabupaten Ponorogo
3502022006,Baosan Lor,-8.0971217858,111.4197691087,35.02.02.2006,3502,Kabupaten Ponorogo
3502022007,Temon,-8.1152189584,111.4586506595,35.02.02.2007,3502,Kabupaten Ponorogo
3502022008,Selur,-8.1024067609,111.4889457654,35.02.02.2008,3502,Kabupaten Ponorogo
3502022009,Ngrayun,-8.0942579752,111.4432578688,35.02.02.2009,3502,Kabupaten Ponorogo
3502022010,Cepoko,-8.0715385958,111.5033776215,35.02.02.2010,3502,Kabupaten Ponorogo
3502022011,Gedangan,-8.1566201923,111.4221687337,35.02.02.2011,3502,Kabupaten Ponorogo
3502032001,Pelem,-8.0520544996,111.4596236751,35.02.03.2001,3502,Kabupaten Ponorogo
3502032002,Koripan,-8.0399863867,111.4450086574,35.02.03.2002,3502,Kabupaten Ponorogo
3502032003,Bekare,-8.0265282068,111.4397261644,35.02.03.2003,3502,Kabupaten Ponorogo
3502032004,Nambak,-8.0117440413,111.4425594063,35.02.03.2004,3502,Kabupaten Ponorogo
3502032005,Kalisat,-8.0200454716,111.4551212979,35.02.03.2005,3502,Kabupaten Ponorogo
3502032006,Munggu,-8.0354418954,111.4780609331,35.02.03.2006,3502,Kabupaten Ponorogo
3502032007,Pager,-8.0124955412,111.4736836224,35.02.03.2007,3502,Kabupaten Ponorogo
3502032008,Belang,-8.0107852744,111.4633012845,35.02.03.2008,3502,Kabupaten Ponorogo
3502032009,Bungkal,-8.0029622196,111.4553232205,35.02.03.2009,3502,Kabupaten Ponorogo
3502032010,Ketonggo,-8.0010453523,111.4459048334,35.02.03.2010,3502,Kabupaten Ponorogo
3502032011,Kunti,-7.9927557257,111.4474966471,35.02.03.2011,3502,Kabupaten Ponorogo
3502032012,Bancar,-7.9839643315,111.4558160604,35.02.03.2012,3502,Kabupaten Ponorogo
3502032013,Padas,-7.9939744425,111.4651454198,35.02.03.2013,3502,Kabupaten Ponorogo
3502032014,Bungu,-7.9835631318,111.4676631751,35.02.03.2014,3502,Kabupaten Ponorogo
3502032015,Kupuk,-7.9991796957,111.4832094452,35.02.03.2015,3502,Kabupaten Ponorogo
3502032016,Sambilawang,-7.979744631,111.478169255,35.02.03.2016,3502,Kabupaten Ponorogo
3502032017,Kwajon,-7.9744678874,111.4834725308,35.02.03.2017,3502,Kabupaten Ponorogo
3502032018,Bediwetan,-7.9708798656,111.4637163848,35.02.03.2018,3502,Kabupaten Ponorogo
3502032019,Bedikulon,-7.9734274547,111.4514954963,35.02.03.2019,3502,Kabupaten Ponorogo
3502042001,Gajah,-8.0349857462,111.5120846703,35.02.04.2001,3502,Kabupaten Ponorogo
3502042002,Wringinanom,-8.0051953878,111.50598709,35.02.04.2002,3502,Kabupaten Ponorogo
3502042003,Ngadisanan,-8.0028762693,111.5306957574,35.02.04.2003,3502,Kabupaten Ponorogo
3502042004,Maguwan,-7.9847191592,111.5204956978,35.02.04.2004,3502,Kabupaten Ponorogo
3502042005,Nglewan,-7.9831164114,111.5053837419,35.02.04.2005,3502,Kabupaten Ponorogo
3502042006,Bedingin,-7.9747147412,111.4930339119,35.02.04.2006,3502,Kabupaten Ponorogo
3502042007,Bancangan,-7.9657007935,111.4952634524,35.02.04.2007,3502,Kabupaten Ponorogo
3502042008,Campurejo,-7.9623201525,111.4977255401,35.02.04.2008,3502,Kabupaten Ponorogo
3502042009,Campursari,-7.9531068917,111.4942793622,35.02.04.2009,3502,Kabupaten Ponorogo
3502042010,Bulu,-7.9622048338,111.5096883562,35.02.04.2010,3502,Kabupaten Ponorogo
3502042011,Sambit,-7.9627794177,111.524013968,35.02.04.2011,3502,Kabupaten Ponorogo
3502042012,Besuki,-7.9616384708,111.5353439964,35.02.04.2012,3502,Kabupaten Ponorogo
3502042013,Wilangan,-7.9525642303,111.5264726496,35.02.04.2013,3502,Kabupaten Ponorogo
3502042014,Bangsalan,-7.9538649459,111.516787614,35.02.04.2014,3502,Kabupaten Ponorogo
3502042015,Kemuning,-7.9435541359,111.5242405254,35.02.04.2015,3502,Kabupaten Ponorogo
3502042016,Jrakah,-8.0478609927,111.5391730149,35.02.04.2016,3502,Kabupaten Ponorogo
3502052001,Tumpuk,-8.0346062782,111.5576081704,35.02.05.2001,3502,Kabupaten Ponorogo
3502052002,Pangkal,-8.0115049876,111.5792310926,35.02.05.2002,3502,Kabupaten Ponorogo
3502052003,Tumpak Pelem,-7.9998313864,111.6128641326,35.02.05.2003,3502,Kabupaten Ponorogo
3502052004,Tempuran,-7.9927119493,111.6418063561,35.02.05.2004,3502,Kabupaten Ponorogo
3502052005,Sriti,-7.9687565294,111.637617052,35.02.05.2005,3502,Kabupaten Ponorogo
3502052006,Temon,-7.9582014364,111.6074869586,35.02.05.2006,3502,Kabupaten Ponorogo
3502052007,Sawoo,-7.9744377686,111.5825464271,35.02.05.2007,3502,Kabupaten Ponorogo
3502052008,Prayungan,-7.965890779,111.5606841431,35.02.05.2008,3502,Kabupaten Ponorogo
3502052009,Tugurejo,-7.9752744163,111.5473749059,35.02.05.2009,3502,Kabupaten Ponorogo
3502052010,Grogol,-7.9960929038,111.5457910789,35.02.05.2010,3502,Kabupaten Ponorogo
3502052011,Ketro,-7.9501439804,111.5349307221,35.02.05.2011,3502,Kabupaten Ponorogo
3502052012,Kori,-7.9507224336,111.5487593943,35.02.05.2012,3502,Kabupaten Ponorogo
3502052013,Bondrang,-7.9332112385,111.5555784188,35.02.05.2013,3502,Kabupaten Ponorogo
3502052014,Ngindeng,-7.9419745423,111.5713848781,35.02.05.2014,3502,Kabupaten Ponorogo
3502062001,Ngadirojo,-7.9339531676,111.6294239501,35.02.06.2001,3502,Kabupaten Ponorogo
3502062002,Klepu,-7.9323421941,111.6635660172,35.02.06.2002,3502,Kabupaten Ponorogo
3502062003,Suru,-7.9115995783,111.6426186093,35.02.06.2003,3502,Kabupaten Ponorogo
3502062004,Sooko,-7.905018926,111.6603244128,35.02.06.2004,3502,Kabupaten Ponorogo
3502062005,Bedoho,-7.9206815837,111.6764128787,35.02.06.2005,3502,Kabupaten Ponorogo
3502062006,Jurug,-7.9014979965,111.6839576683,35.02.06.2006,3502,Kabupaten Ponorogo
3502072001,Karangpatihan,-7.9061060622,111.5889070777,35.02.07.2001,3502,Kabupaten Ponorogo
3502072002,Tegalrejo,-7.8894053416,111.6348478154,35.02.07.2002,3502,Kabupaten Ponorogo
3502072003,Bedrug,-7.888889153,111.650477195,35.02.07.2003,3502,Kabupaten Ponorogo
3502072004,Wagir Kidul,-7.8725176816,111.6765502257,35.02.07.2004,3502,Kabupaten Ponorogo
3502072005,Singgahan,-7.874366549,111.6522064574,35.02.07.2005,3502,Kabupaten Ponorogo
3502072006,Patik,-7.8723499164,111.6328180876,35.02.07.2006,3502,Kabupaten Ponorogo
3502072007,Pulung,-7.8865972563,111.617180338,35.02.07.2007,3502,Kabupaten Ponorogo
3502072008,Pulung Merdiko,-7.8802693236,111.5951934462,35.02.07.2008,3502,Kabupaten Ponorogo
3502072009,Sidoharjo,-7.8712758557,111.5821018014,35.02.07.2009,3502,Kabupaten Ponorogo
3502072010,Wotan,-7.8639009505,111.5976107873,35.02.07.2010,3502,Kabupaten Ponorogo
3502072011,Plunturan,-7.8551401394,111.5993454228,35.02.07.2011,3502,Kabupaten Ponorogo
3502072012,Pomahan,-7.8398692594,111.6006700299,35.02.07.2012,3502,Kabupaten Ponorogo
3502072013,Kesugihan,-7.8335347206,111.6174616985,35.02.07.2013,3502,Kabupaten Ponorogo
3502072014,Serag,-7.8373221762,111.6239447243,35.02.07.2014,3502,Kabupaten Ponorogo
